Ticker,Origin,Company,Sector,Group,Category,Loss,Income Drop
ATGE,USA,Adtalem Global Education Inc,Consumer Goods,-,-,1.0,4.0
ATEC,USA,Alphatec Holdings Inc,Healthcare,Medical Instruments & Supplies,Health Services,10.0,5.0
ATEN,USA,A10 Networks Inc,Technology,Communication Equipment,Telecommunications,7.0,3.0
AT,Canada,Atlantic Power Corp,Utilities,Electric Utilities,Utilities,7.0,4.0
ASYS,USA,Amtech Systems Inc,Technology,Semiconductor Equipment & Materials,Electronics,7.0,5.0
ASTE,USA,Astec Industries Inc,Industrial Goods,Farm & Construction Machinery,Manufacturing,1.0,5.0
ASTC,USA,Astrotech Corp,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,9.0,4.0
AST,USA,Asterias Biotherapeutics Inc,Healthcare,Biotechnology,Drugs,6.0,2.0
ASRV,USA,Ameriserv Financial Inc,Financial,Regional - Northeast Banks,Banking,0.0,2.0
ASPN,USA,Aspen Aerogels Inc,Industrial Goods,General Building Materials,Materials & Construction,8.0,4.0
ASPS,Luxembourg,Altisource Portfolio Solutions SA,Services,Business Services,Diversified Services,2.0,3.0
ASNA,USA,Ascena Retail Group Inc,Services,Apparel Stores,Retail,6.0,6.0
ASMB,USA,Assembly Biosciences Inc,Healthcare,Drug Manufacturers - Major,Drugs,10.0,6.0
ASH,USA,Ashland Global Holdings Inc,Basic Materials,Chemicals - Major Diversified,Chemicals,0.0,3.0
ASGN,USA,On Assignment Inc,Services,Staffing & Outsourcing Services,Diversified Services,0.0,1.0
ASCMA,USA,Ascent Capital Group Inc,Services,Security & Protection Services,Diversified Services,8.0,6.0
ASFI,USA,Asta Funding Inc,Services,Business Services,Diversified Services,1.0,3.0
ASBI,USA,Ameriana Bancorp,Financial,Savings & Loans,Banking,0.0,0.0
ASBB,USA,ASB Bancorp Inc,Financial,Regional - Mid-Atlantic Banks,Banking,3.0,1.0
ASB,USA,Associated Banc-Corp,Financial,Regional - Midwest Banks,Banking,2.0,3.0
ARW,USA,Arrow Electronics Inc,Services,Electronics Wholesale,Wholesale,2.0,5.0
ARTW,USA,Arts Way Manufacturing Co Inc,Industrial Goods,Farm & Construction Machinery,Manufacturing,6.0,5.0
ARTX,USA,Arotech Corp,Industrial Goods,Industrial Electrical Equipment,Manufacturing,5.0,4.0
ARTNA,USA,Artesian Resources Corp,Utilities,Water Utilities,Utilities,0.0,2.0
ARRS,United Kingdom,Arris International PLC,Technology,Communication Equipment,Telecommunications,2.0,4.0
ARRY,USA,Array Biopharma Inc,Healthcare,Biotechnology,Drugs,8.0,5.0
ARQL,USA,ArQule Inc,Healthcare,Biotechnology,Drugs,10.0,5.0
ARPI,USA,American Residential Properties Inc,Financial,REIT - Diversified,Real Estate,4.0,3.0
AROW,USA,Arrow Financial Corp,Financial,Regional - Northeast Banks,Banking,0.0,0.0
AROC,USA,Archrock Inc,Basic Materials,Oil & Gas Pipelines,Energy,6.0,4.0
ARNC,USA,Arconic Inc,Basic Materials,Aluminum,Metals & Mining,5.0,6.0
ARNA,USA,Arena Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,10.0,5.0
ARLP,USA,Alliance Resource Partners LP,Basic Materials,Industrial Metals & Minerals,Metals & Mining,0.0,3.0
ARMK,USA,Aramark,Services,Specialty Eateries,Leisure,0.0,2.0
ARL,USA,American Realty Investors Inc,Financial,Property Management,Real Estate,7.0,5.0
ARKR,USA,Ark Restaurants Corp,Services,Restaurants,Leisure,0.0,4.0
ARIS,USA,ARI Network Services Inc,Technology,Application Software,Computer Software & Services,1.0,1.0
ARIA,USA,ARIAD Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,6.0,4.0
ARII,USA,American Railcar Industries Inc,Services,Railroads,Transportation,1.0,1.0
ARGO,Bermuda,Argo Group International Holdings Ltd,Financial,Property & Casualty Insurance,Insurance,1.0,0.0
ARDX,USA,Ardelyx Inc,Healthcare,Biotechnology,Drugs,8.0,5.0
ARES,USA,Ares Management Corp,Financial,Asset Management,Financial Services,1.0,3.0
ARCW,USA,ARC Group Worldwide Inc,Industrial Goods,Metal Fabrication,Manufacturing,7.0,5.0
ARCH,USA,Arch Coal Inc,Basic Materials,Industrial Metals & Minerals,Metals & Mining,5.0,6.0
ARCB,USA,ArcBest Corp,Services,Trucking,Transportation,3.0,5.0
ARAY,USA,Accuray Inc,Healthcare,Medical Appliances & Equipment,Health Services,10.0,4.0
ARC,USA,ARC Document Solutions Inc,Services,Business Services,Diversified Services,5.0,2.0
ARA,USA,American Renal Associates Holdings Inc,Healthcare,Medical Laboratories & Research,Health Services,0.0,4.0
AR,USA,Antero Resources Corp,Basic Materials,Oil & Gas Drilling & Exploration,Energy,6.0,4.0
AQUA,USA,Evoqua Water Technologies Corp,N/D,-,-,1.0,0.0
AQ,USA,Aquantia Corp,N/D,-,-,2.0,1.0
APU,USA,Amerigas Partners LP,Utilities,Gas Utilities,Utilities,1.0,6.0
APTV,Jersey,Aptiv PLC,Consumer Goods,Auto Parts,Automotive,0.0,4.0
APT,USA,Alpha Pro Tech Ltd,Industrial Goods,General Building Materials,Materials & Construction,0.0,0.0
APTO,Canada,Aptose Biosciences Inc,Healthcare,Biotechnology,Drugs,1.0,0.0
APRN,USA,Blue Apron Holdings Inc,Services,Catalog & Mail Order Houses,Retail,4.0,1.0
APPF,USA,AppFolio Inc,Technology,Application Software,Computer Software & Services,3.0,2.0
APOG,USA,Apogee Enterprises Inc,Industrial Goods,General Building Materials,Materials & Construction,1.0,2.0
APOL,USA,Apollo Education Group Inc,Services,Education & Training Services,Diversified Services,2.0,6.0
APLP,USA,Archrock Partners LP,Basic Materials,Oil & Gas Pipelines,Energy,4.0,2.0
APO,USA,Apollo Global Management LLC,Financial,Diversified Investments,Financial Services,2.0,5.0
APH,USA,Amphenol Corp,Technology,Diversified Electronics,Electronics,0.0,3.0
APEN,USA,Apollo Endosurgery Inc,Healthcare,Medical Instruments & Supplies,Health Services,11.0,7.0
APFH,USA,Advancepierre Foods Holdings Inc,Consumer Goods,Processed & Packaged Goods,Food & Beverage,0.0,0.0
APDN,USA,Applied DNA Sciences Inc,Technology,Security Software & Services,Computer Software & Services,11.0,3.0
APEI,USA,American Public Education Inc,Services,Education & Training Services,Diversified Services,0.0,6.0
APD,USA,Air Products and Chemicals Inc,Basic Materials,Chemicals - Major Diversified,Chemicals,0.0,5.0
APA,USA,Apache Corp,Basic Materials,Independent Oil & Gas,Energy,6.0,6.0
APC,USA,Anadarko Petroleum Corp,Basic Materials,Independent Oil & Gas,Energy,7.0,5.0
APAM,USA,Artisan Partners Asset Management Inc,Financial,Asset Management,Financial Services,1.0,5.0
AP,USA,Ampco-Pittsburgh Corp,Industrial Goods,Diversified Machinery,Manufacturing,5.0,4.0
AOSL,USA,Alpha and Omega Semiconductor Ltd,Technology,Semiconductor - Specialized,Electronics,6.0,5.0
ANTM,USA,Anthem Inc,Healthcare,Health Care Plans,Health Services,0.0,5.0
AON,United Kingdom,Aon PLC,Financial,Insurance Brokers,Insurance,0.0,4.0
AOS,USA,A. O. Smith Corp,Industrial Goods,Industrial Electrical Equipment,Manufacturing,0.0,4.0
ANY,Canada,Sphere 3D Corp,Technology,Application Software,Computer Software & Services,3.0,0.0
ANTH,USA,Anthera Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,9.0,3.0
ANIP,USA,ANI Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,5.0,6.0
ANSS,USA,ANSYS Inc,Technology,Application Software,Computer Software & Services,0.0,2.0
ANIK,USA,Anika Therapeutics Inc,Healthcare,Biotechnology,Drugs,0.0,2.0
ANGO,USA,AngioDynamics Inc,Healthcare,Medical Instruments & Supplies,Health Services,4.0,4.0
ANGI,USA,ANGI Homeservices Inc,Technology,Internet Software & Services,Internet,2.0,1.0
ANF,USA,Abercrombie & Fitch Co,Services,Apparel Stores,Retail,0.0,6.0
ANET,USA,Arista Networks Inc,Technology,Diversified Computer Systems,Computer Hardware,0.0,2.0
ANDV,USA,Andeavor,Basic Materials,Oil & Gas Refining & Marketing,Energy,2.0,3.0
ANDE,USA,Andersons Inc,Consumer Goods,Farm Products,Food & Beverage,1.0,3.0
ANCB,USA,Anchor Bancorp Inc,Financial,Savings & Loans,Banking,3.0,3.0
ANAC,USA,Anacor Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,5.0,4.0
ANAD,USA,ANADIGICS Inc,Technology,Semiconductor - Integrated Circuits,Electronics,5.0,2.0
ANAT,USA,American National Insurance Co,Financial,Property & Casualty Insurance,Insurance,0.0,4.0
AN,USA,AutoNation Inc,Services,Auto Dealerships,Specialty Retail,0.0,2.0
AMZN,USA,Amazon.com Inc,Services,Catalog & Mail Order Houses,Retail,2.0,4.0
AMTX,USA,Aemetis Inc,Basic Materials,Specialty Chemicals,Chemicals,8.0,5.0
AMWD,USA,American Woodmark Corp,Consumer Goods,Home Furnishings & Fixtures,Consumer Durables,2.0,1.0
AMTD,USA,TD Ameritrade Holding Corp,Financial,Investment Brokerage - National,Financial Services,0.0,2.0
AMTG,USA,Apollo Residential Mortgage Inc,Financial,REIT - Diversified,Real Estate,3.0,3.0
AMSC,USA,American Superconductor Corp,Industrial Goods,Industrial Electrical Equipment,Manufacturing,9.0,4.0
AMSWA,USA,American Software Inc,Technology,Application Software,Computer Software & Services,0.0,4.0
AMSF,USA,Amerisafe Inc,Financial,Property & Casualty Insurance,Insurance,0.0,2.0
AMS,USA,American Shared Hospital Services,Healthcare,Specialized Health Services,Health Services,2.0,1.0
AMRS,USA,Amyris Inc,Basic Materials,Specialty Chemicals,Chemicals,9.0,6.0
AMRK,USA,A-Mark Precious Metals Inc,Financial,Investment Brokerage - National,Financial Services,1.0,3.0
AMRI,USA,Albany Molecular Research Inc,Healthcare,Biotechnology,Drugs,7.0,3.0
AMRC,USA,Ameresco Inc,Services,Technical Services,Diversified Services,1.0,3.0
AMRB,USA,American River Bankshares,Financial,Regional - Pacific Banks,Banking,0.0,1.0
AMPE,USA,Ampio Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,10.0,5.0
AMPH,USA,Amphastar Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Other,Drugs,3.0,3.0
AMP,USA,Ameriprise Financial Inc,Financial,Asset Management,Financial Services,0.0,5.0
AMOT,USA,Allied Motion Technologies Inc,Industrial Goods,Industrial Electrical Equipment,Manufacturing,0.0,3.0
AMNB,USA,American National Bankshares Inc,Financial,Regional - Mid-Atlantic Banks,Banking,0.0,2.0
AMN,USA,AMN Healthcare Services Inc,Industrial Goods,General Building Materials,Materials & Construction,1.0,1.0
AMKR,USA,Amkor Technology Inc,Technology,Semiconductor - Integrated Circuits,Electronics,0.0,5.0
AMID,USA,American Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,Energy,10.0,5.0
AMGN,USA,Amgen Inc,Healthcare,Biotechnology,Drugs,0.0,4.0
AMED,USA,Amedisys Inc,Healthcare,Home Health Care,Health Services,4.0,4.0
AMG,USA,Affiliated Managers Group Inc,Financial,Asset Management,Financial Services,0.0,3.0
AME,USA,Ametek Inc,Industrial Goods,Diversified Machinery,Manufacturing,0.0,1.0
AMD,USA,Advanced Micro Devices Inc,Technology,Semiconductor - Broad Line,Electronics,7.0,3.0
AMC,USA,AMC Entertainment Holdings Inc,Services,"Movie Production,Theaters",Media,2.0,3.0
AMCX,USA,AMC Networks Inc,Services,Entertainment - Diversified,Media,0.0,5.0
AMBR,USA,Amber Road Inc,Technology,Application Software,Computer Software & Services,7.0,2.0
AMBC,USA,Ambac Financial Group Inc,Financial,Surety & Title Insurance,Insurance,5.0,5.0
AMBA,USA,Ambarella Inc,Technology,Semiconductor Equipment & Materials,Electronics,2.0,4.0
AMAT,USA,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,Electronics,1.0,3.0
AMAG,USA,AMAG Pharmaceuticals Inc,Healthcare,Diagnostic Substances,Drugs,9.0,5.0
AM,USA,Antero Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,Energy,1.0,1.0
ALXA,USA,Alexza Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,7.0,3.0
ALXN,USA,Alexion Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,0.0,3.0
ALV,USA,Autoliv Inc,Consumer Goods,Auto Parts,Automotive,0.0,6.0
ALTV,USA,Alteva Inc,Technology,Telecom Services - Domestic,Telecommunications,4.0,3.0
ALTR,USA,"Altair Engineering,Inc",Technology,Application Software,Computer Software & Services,3.0,8.0
ALT,USA,Altimmune Inc,Healthcare,Biotechnology,Drugs,10.0,4.0
ALSN,USA,Allison Transmission Holdings Inc,Consumer Goods,Auto Parts,Automotive,0.0,4.0
ALSK,USA,Alaska Communications Systems Group Inc,Technology,Telecom Services - Domestic,Telecommunications,4.0,4.0
ALOG,USA,Analogic Corp,Healthcare,Medical Laboratories & Research,Health Services,2.0,4.0
ALRM,USA,Alarm.com Holdings Inc,Technology,Application Software,Computer Software & Services,0.0,3.0
ALOT,USA,AstroNova Inc,Technology,Computer Peripherals,Computer Hardware,0.0,2.0
ALNY,USA,Alnylam Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,12.0,8.0
ALLY,USA,Ally Financial Inc,Financial,Mortgage Investment,Real Estate,1.0,5.0
ALLE,Ireland,Allegion PLC,Services,Security & Protection Services,Diversified Services,0.0,1.0
ALLB,USA,Alliance Bancorp Inc of Pennsylvania,Financial,Savings & Loans,Banking,0.0,0.0
ALL,USA,Allstate Corp,Financial,Property & Casualty Insurance,Insurance,1.0,6.0
ALKS,Ireland,Alkermes Plc,Healthcare,Drug Delivery,Drugs,8.0,4.0
ALK,USA,Alaska Air Group Inc,Services,Regional Airlines,Transportation,0.0,3.0
ALJJ,USA,ALJ Regional Holdings Inc,Services,Business Services,Diversified Services,3.0,3.0
ALJ,USA,Alon USA Energy Inc,Basic Materials,Oil & Gas Refining & Marketing,Energy,2.0,2.0
ALIM,USA,Alimera Sciences Inc,Healthcare,Drug Manufacturers - Major,Drugs,10.0,4.0
ALGT,USA,Allegiant Travel Co,Services,Regional Airlines,Transportation,0.0,3.0
ALGN,USA,Align Technology Inc,Healthcare,Medical Appliances & Equipment,Health Services,1.0,3.0
ALG,USA,Alamo Group Inc,Industrial Goods,Farm & Construction Machinery,Manufacturing,0.0,3.0
ALE,USA,ALLETE Inc,Utilities,Diversified Utilities,Utilities,0.0,1.0
ALDW,USA,Alon USA Partners LP,Basic Materials,Oil & Gas Refining & Marketing,Energy,1.0,3.0
ALDR,USA,Alder Biopharmaceuticals Inc,Healthcare,Biotechnology,Drugs,6.0,5.0
ALBO,USA,Albireo Pharma Inc,Healthcare,Biotechnology,Drugs,11.0,7.0
ALB,USA,Albemarle Corp,Basic Materials,Specialty Chemicals,Chemicals,0.0,4.0
AL,USA,Air Lease Corp,Services,Rental & Leasing Services,Diversified Services,0.0,2.0
AKS,USA,AK Steel Holding Corp,Basic Materials,Steel & Iron,Metals & Mining,6.0,7.0
AKRX,USA,Akorn Inc,Healthcare,Drugs - Generic,Drugs,4.0,4.0
AKER,USA,Akers Biosciences Inc,Healthcare,Medical Instruments & Supplies,Health Services,7.0,4.0
AKBA,USA,Akebia Therapeutics Inc,Healthcare,Biotechnology,Drugs,8.0,5.0
AKAM,USA,Akamai Technologies Inc,Technology,Internet Information Providers,Internet,0.0,3.0
AJX,USA,Great Ajax Corp,Financial,REIT - Diversified,Real Estate,0.0,1.0
AJRD,USA,Aerojet Rocketdyne Holdings Inc,Industrial Goods,Aerospace/Defense - Major Diversified,Aerospace/Defense,4.0,4.0
AJG,USA,Arthur J Gallagher & Co,Financial,Insurance Brokers,Insurance,0.0,1.0
AIZ,USA,Assurant Inc,Financial,Accident & Health Insurance,Insurance,0.0,5.0
AIT,USA,Applied Industrial Technologies Inc,Services,Industrial Equipment Wholesale,Wholesale,0.0,3.0
AIRT,USA,Air T Inc,Services,Air Delivery & Freight Services,Transportation,1.0,2.0
AIRI,USA,Air Industries Group,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,5.0,4.0
AIRG,USA,Airgain Inc,Technology,Communication Equipment,Telecommunications,3.0,3.0
AIR,USA,AAR Corp,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,0.0,5.0
AIQ,USA,Alliance HealthCare Services Inc,Healthcare,Medical Laboratories & Research,Health Services,4.0,3.0
AINC,USA,Ashford Inc,Financial,Asset Management,Financial Services,5.0,2.0
AIN,USA,Albany International Corp,Industrial Goods,Textile Industrial,Manufacturing,0.0,6.0
AIMC,USA,Altra Industrial Motion Corp,Industrial Goods,Industrial Electrical Equipment,Manufacturing,1.0,5.0
AIHS,USA,Senmiao Technology Ltd,N/D,-,-,1.0,0.0
AIII,USA,ACRE Realty Investors Inc,Financial,REIT - Retail,Real Estate,8.0,3.0
AIG,USA,American International Group Inc,Financial,Property & Casualty Insurance,Insurance,3.0,5.0
AHL,Bermuda,Aspen Insurance Holdings Ltd,Financial,Property & Casualty Insurance,Insurance,4.0,5.0
AHPI,USA,Allied Healthcare Products Inc,Healthcare,Medical Appliances & Equipment,Health Services,9.0,3.0
AHGP,USA,Alliance Holdings GP LP,Basic Materials,Nonmetallic Mineral Mining,Metals & Mining,0.0,3.0
AGYS,USA,Agilysys Inc,Technology,Application Software,Computer Software & Services,9.0,3.0
AHC,USA,A. H. Belo Corp,Services,Publishing - Newspapers,Media,4.0,4.0
AGX,USA,Argan Inc,Industrial Goods,Heavy Construction,Materials & Construction,1.0,3.0
AGR,USA,Avangrid Inc,Utilities,Gas Utilities,Utilities,0.0,1.0
AGS,USA,Playags Inc,N/D,-,-,2.0,1.0
AGO,Bermuda,Assured Guaranty Ltd,Financial,Surety & Title Insurance,Insurance,0.0,6.0
AGN,Ireland,Allergan plc,Healthcare,Drugs - Generic,Drugs,5.0,4.0
AGM,USA,Federal Agricultural Mortgage Corp,Financial,Credit Services,Financial Services,0.0,1.0
AGLE,USA,Aeglea Bio Therapeutics Inc,Healthcare,Biotechnology,Drugs,6.0,5.0
AGIO,USA,Agios Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,9.0,7.0
